0.000	0.100	0.000	0.050	0.080	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.100	0.000	0.050	0.050	0.100	0.070	0.000	0.000	0.000	0.000	0.000	0.000
0.000	0.050	0.000	0.000	0.120	0.020	0.000	0.000	0.000	0.000	0.000	0.000
0.050	0.050	0.000	0.000	0.200	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.080	0.100	0.120	0.200	0.000	0.100	0.100	0.000	0.000	0.000	0.000	0.000
0.000	0.070	0.020	0.000	0.100	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.100	0.000	0.000	0.050	0.100	0.070	0.100	0.050
0.000	0.000	0.000	0.000	0.000	0.000	0.050	0.000	0.000	0.020	0.120	0.000
0.000	0.000	0.000	0.000	0.000	0.000	0.100	0.000	0.000	0.000	0.080	0.050
0.000	0.000	0.000	0.000	0.000	0.000	0.070	0.020	0.000	0.000	0.100	0.000
0.000	0.000	0.000	0.000	0.000	0.000	0.100	0.120	0.080	0.100	0.000	0.200
0.000	0.000	0.000	0.000	0.000	0.000	0.050	0.000	0.050	0.000	0.200	0.000



